,Sensitivity,Specificity,Accuracy,Precision,F1 Score
AFIB,0.94,0.78,0.8,0.37,0.54
AFLT,0.95,0.84,0.86,0.58,0.72
1dAVb,0.91,0.91,0.91,0.5,0.65
RBBB,0.93,0.93,0.93,0.72,0.81
LBBB,0.96,0.89,0.9,0.3,0.46
NORM,0.81,0.98,0.9,0.97,0.89
Mean,0.92,0.89,0.89,0.58,0.68
