,Sensitivity,Specificity,Accuracy,Precision,F1 Score
AFIB,0.69,0.37,0.41,0.13,0.22
AFLT,0.93,0.1,0.26,0.2,0.32
1dAVb,0.25,0.74,0.69,0.08,0.12
RBBB,0.7,0.33,0.39,0.16,0.26
LBBB,0.91,0.18,0.21,0.05,0.1
NORM,0.0,1.0,0.54,0.0,0.0
Mean,0.58,0.45,0.42,0.1,0.17
