,Sensitivity,Specificity,Accuracy,Precision,F1 Score
AFIB,0.94,0.11,0.21,0.13,0.23
AFLT,0.93,0.11,0.27,0.2,0.33
1dAVb,1.0,0.0,0.09,0.09,0.16
RBBB,0.99,0.01,0.16,0.15,0.27
LBBB,0.0,1.0,0.95,0.0,0.0
NORM,0.0,1.0,0.54,0.0,0.0
Mean,0.64,0.37,0.37,0.09,0.16
