,Sensitivity,Specificity,Accuracy,Precision,F1 Score
AFIB,0.2,0.9,0.76,0.34,0.25
AFLT,0.02,0.95,0.76,0.08,0.03
1dAVb,0.37,0.81,0.72,0.33,0.35
RBBB,0.63,0.39,0.43,0.2,0.31
LBBB,0.0,1.0,0.8,0.0,0.0
Mean,0.24,0.81,0.7,0.19,0.19
