,Sensitivity,Specificity,Accuracy,Precision,F1 Score
AFIB,0.27,0.91,0.78,0.42,0.33
AFLT,0.01,0.96,0.77,0.08,0.02
1dAVb,0.35,0.82,0.73,0.33,0.34
RBBB,0.63,0.37,0.42,0.2,0.31
LBBB,0.0,1.0,0.8,0.0,0.0
Mean,0.25,0.81,0.7,0.21,0.2
