,Sensitivity,Specificity,Accuracy,Precision,F1 Score
AFIB,0.24,0.92,0.78,0.42,0.31
AFLT,0.02,0.95,0.76,0.07,0.03
1dAVb,0.28,0.82,0.71,0.28,0.28
RBBB,0.54,0.34,0.38,0.17,0.26
LBBB,0.0,1.0,0.8,0.0,0.0
Mean,0.21,0.8,0.69,0.19,0.17
