,Sensitivity,Specificity,Accuracy,Precision,F1 Score
AFIB,0.61,0.41,0.44,0.13,0.21
AFLT,0.0,1.0,0.82,0.0,0.0
1dAVb,0.0,1.0,0.9,0.0,0.0
RBBB,0.42,0.59,0.56,0.17,0.25
LBBB,0.0,1.0,0.95,0.0,0.0
Mean,0.21,0.8,0.73,0.06,0.09
