,Sensitivity,Specificity,Accuracy,Precision,F1 Score
AFIB,0.16,0.94,0.78,0.4,0.23
AFLT,0.04,0.91,0.74,0.11,0.06
1dAVb,0.25,0.95,0.81,0.53,0.34
RBBB,0.66,0.23,0.32,0.18,0.28
LBBB,0.0,1.0,0.8,0.0,0.0
Mean,0.22,0.81,0.69,0.24,0.18
