,Sensitivity,Specificity,Accuracy,Precision,F1 Score
AFIB,0.0,1.0,0.8,0.0,0.0
AFLT,0.0,0.98,0.79,0.0,0.0
1dAVb,0.0,0.75,0.6,0.0,0.0
RBBB,0.93,0.25,0.39,0.24,0.38
LBBB,0.0,1.0,0.8,0.0,0.0
Mean,0.19,0.8,0.67,0.05,0.08
