,Sensitivity,Specificity,Accuracy,Precision,F1 Score
AFIB,0.31,0.89,0.78,0.42,0.36
AFLT,0.0,0.99,0.79,0.09,0.01
1dAVb,0.08,0.91,0.74,0.17,0.1
RBBB,0.69,0.24,0.33,0.19,0.29
LBBB,0.0,1.0,0.8,0.0,0.0
Mean,0.22,0.8,0.69,0.17,0.15
