,Sensitivity,Specificity,Accuracy,Precision,F1 Score
AFIB,0.31,0.9,0.78,0.43,0.36
AFLT,0.0,0.98,0.79,0.06,0.01
1dAVb,0.11,0.85,0.7,0.15,0.12
RBBB,0.72,0.31,0.39,0.21,0.32
LBBB,0.0,1.0,0.8,0.0,0.0
Mean,0.23,0.81,0.69,0.17,0.16
