,Sensitivity,Specificity,Accuracy,Precision,F1 Score
AFIB,0.33,0.89,0.78,0.43,0.37
AFLT,0.0,0.99,0.79,0.0,0.0
1dAVb,0.47,0.26,0.3,0.14,0.21
RBBB,0.0,0.81,0.64,0.0,0.0
LBBB,0.0,1.0,0.8,0.0,0.0
Mean,0.16,0.79,0.66,0.11,0.12
