,Sensitivity,Specificity,Accuracy,Precision,F1 Score
AFIB,0.22,0.91,0.77,0.38,0.28
AFLT,0.01,0.95,0.76,0.04,0.01
1dAVb,0.38,0.79,0.7,0.31,0.34
RBBB,0.66,0.42,0.47,0.22,0.33
LBBB,0.0,1.0,0.8,0.0,0.0
Mean,0.25,0.81,0.7,0.19,0.19
