,Sensitivity,Specificity,Accuracy,Precision,F1 Score
AFIB,0.93,0.76,0.78,0.35,0.5
AFLT,0.91,0.82,0.84,0.54,0.68
1dAVb,0.89,0.8,0.81,0.3,0.45
RBBB,0.88,0.94,0.93,0.73,0.8
LBBB,0.86,0.89,0.89,0.28,0.43
Mean,0.89,0.84,0.85,0.44,0.57
