,Sensitivity,Specificity,Accuracy,Precision,F1 Score
AFIB,0.29,0.9,0.78,0.42,0.34
AFLT,0.01,0.98,0.78,0.12,0.03
1dAVb,0.68,0.64,0.65,0.32,0.44
RBBB,0.51,0.6,0.59,0.24,0.33
LBBB,0.0,1.0,0.8,0.0,0.0
Mean,0.3,0.82,0.72,0.22,0.23
