,Sensitivity,Specificity,Accuracy,Precision,F1 Score
AFIB,0.31,0.89,0.78,0.42,0.36
AFLT,0.0,0.99,0.79,0.07,0.01
1dAVb,0.07,0.88,0.72,0.13,0.09
RBBB,0.71,0.26,0.35,0.19,0.3
LBBB,0.0,1.0,0.8,0.0,0.0
Mean,0.22,0.8,0.69,0.16,0.15
