,Sensitivity,Specificity,Accuracy,Precision,F1 Score
AFIB,0.94,0.76,0.78,0.35,0.51
AFLT,0.98,0.83,0.86,0.58,0.73
1dAVb,0.88,0.92,0.91,0.5,0.64
RBBB,0.95,0.94,0.94,0.75,0.84
LBBB,0.98,0.88,0.88,0.28,0.44
Mean,0.95,0.87,0.88,0.49,0.63
